18.2;ELETRODUTOS DE ALUMÍNIO;18
18.3;DUTOS E ACESSÓRIOS;18
18.4;CANALETAS;18
18.5;CONEXÕES METÁLICAS;18
18.6;QUADROS / CAIXAS;18
18.7;FIOS, CABOS E ACESSÓRIOS;18
18.8;BASES, CHAVES E DISJUNTORES;18
18.9;TOMADAS / INTERRUPTORES / ESPELHOS;18
18.10;LUMINÁRIAS INTERNAS / EXTERNAS / ACESSÓRIOS;18
18.11;APARELHOS ELÉTRICOS;18
18.12;EQUIPAMENTOS;18
18.13;POSTES P/ ENERGIA E COMUNICAÇÃO;18
18.14;SUBESTAÇÃO DE DISTRIBUIÇÃO ABRIGADA - CLASSE 15 KV;18
18.15;SUBESTAÇÃO DE DISTRIBUIÇÃO AÉREA - CLASSE 15 KV;18
18.16;SUBESTAÇÃO DE DISTRIBUIÇÃO AO TEMPO - CLASSE 15 KV;18
18.17;SUBESTAÇÃO DE DISTRIBUIÇÃO AO TEMPO - CLASSE 72,5 KV;18
18.18;SUBESTAÇÃO DO TIPO PEDESTAL - CLASSE 15 KV;18
18.19;REDE DE DISTRIBUIÇÃO URBANA - MÉDIA E BAIXA TENSÃO;18
18.20;REDE DE DISTRIBUIÇÃO RURAL - MÉDIA E BAIXA TENSÃO;18
18.21;LINHA DE TRANSMISSÃO PADRÃO URBANO - CLASSE 72,5 KV;18
18.22;LINHA DE TRANSMISSÃO PADRÃO RURAL - CLASSE 72,5 KV;18
18.23;SERVIÇOS AUXILIARES DE TELEFONIA, SOM, LÓGICA E SISTEMAS DE CONTROLE;18
18.24;OUTROS ELEMENTOS;18
19.1;PAREDES E FORROS;19
19.2;PISO;19
19.3;ESQUADRIAS DE MADEIRA;19
19.4;SUPERFÍCIES METÁLICAS;19
19.5;SUPERFÍCIES DE CONCRETO;19
19.6;OUTROS ELEMENTOS;19
20.1;REGULARIZAÇÃO DO SUB-LEITO;20
20.2;REFORÇO, SUB-BASE E BASE;20
20.3;RECOMPOSIÇÃO DE SUB BASE E BASE;20
20.4;IMPRIMAÇÃO;20
20.5;PINTURA DE LIGAÇÃO;20
20.6;MISTURAS BETUMINOSAS À QUENTE;20
20.7;MISTURAS BETUMINOSAS À FRIO;20
20.8;REVESTIMENTO EM PEDRA;20
20.9;REVESTIMENTO PRIMÁRIO;20
20.10;TRATAMENTOS SUPERFICIAIS;20
21.1;FERROVIÁRIA;21
21.2;RODOVIÁRIA;21
21.3;URBANA;21
22.1;FUNDAÇÕES;22
22.2;ESTRUTURAS;22
22.3;QUEBRA-MAR / ENROCAMENTO;22
22.4;DRAGAGEM;22
23.1;LOCAL;23
23.2;COMERCIAL;23
23.3;MATERIAL BETUMINOSO;23
24.1;SINALIZAÇÃO HORIZONTAL;24
24.2;SINALIZAÇÃO VERTICAL;24
25.1;URBANIZAÇÃO;25
25.2;PAISAGISMO;25
25.3;PROTEÇÃO AMBIENTAL;25
26.1;MUROS;26
26.2;ALAMBRADOS;26
26.3;CERCAS;26
26.4;DISPOSITIVOS DE PROTEÇÃO E ACESSO;26
26.5;OUTROS ELEMENTOS;26
27.1;EM EDIFICAÇÕES;27
28.1;HORA TRABALHADA;28
28.2;KM RODADO;28
29.1;SERVIÇOS PRELIMINARES;29
29.2;ESQUADRIAS E FERRAGENS;29
29.3;INSTALAÇÕES, LOUÇAS E ACESSÓRIOS;29
29.4;PISOS;29
29.5;SINALIZAÇÃO;29
29.6;DIVERSOS;29
30.1;INDENIZAÇÕES;30
30.2;LIMPEZA FINAL;30
